[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:33] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:34] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:35] Debug: [] [0] now ojb offset is: QSize(0, 0)
